"RECORD #(ITEM)","RECORD #(HOLDINGS)",22,"BARCODE","245|a",130,,
"i275464143","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011519","american cinematographer",,,
"i275464155","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011520","american cinematographer",,,
"i275464167","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011521","american cinematographer",,,
"i275464179","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011522","american cinematographer",,,
"i275464180","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011523","american cinematographer",,,
"i275464192","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011524","american cinematographer",,,
"i275464209","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011525","american cinematographer",,,
"i275464210","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011526","american cinematographer",,,
"i275464222","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011527","american cinematographer",,,
"i275464234","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011528","american cinematographer",,,
"i27546426x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011530","american cinematographer",,,
"i275464258","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011531","american cinematographer",,,
"i275464246","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011532","american cinematographer",,,
"i275464271","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011533","american cinematographer",,,
"i275464283","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011534","american cinematographer",,,
"i275464295","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011535","american cinematographer",,,
"i275464301","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011536","american cinematographer",,,
"i275464313","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011537","american cinematographer",,,
"i275464325","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011538","american cinematographer",,,
"i275464337","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011539","american cinematographer",,,
"i275464349","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011540","american cinematographer",,,
"i275464350","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011541","american cinematographer",,,
"i275464362","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011542","american cinematographer",,,
"i275464374","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011543","american cinematographer",,,
"i275464386","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011544","american cinematographer",,,
"i275464398","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011545","american cinematographer",,,
"i275464404","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011546","american cinematographer",,,
"i275464416","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011547","american cinematographer",,,
"i275464428","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011548","american cinematographer",,,
"i27546443x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011549","american cinematographer",,,
"i275464441","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011550","american cinematographer",,,
"i275464453","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011551","american cinematographer",,,
"i275464465","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011552","american cinematographer",,,
"i275464477","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011553","american cinematographer",,,
"i275464489","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011554","american cinematographer",,,
"i275464490","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011555","american cinematographer",,,
"i275464507","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011556","american cinematographer",,,
"i275464519","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011557","american cinematographer",,,
"i275464520","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011558","american cinematographer",,,
