"RECORD #(ITEM)","RECORD #(HOLDINGS)",22,"BARCODE","245|a",130,,
"i275461051","c24373679","0045-1150","PB1011686","l'avant-scène cinéma",,,
"i275461063","c24373679","0045-1150","PB1011687","l'avant-scène cinéma",,,
"i275461075","c24373679","0045-1150","PB1011688","l'avant-scène cinéma",,,
"i275461087","c24373679","0045-1150","PB1011689","l'avant-scène cinéma",,,
"i275461099","c24373679","0045-1150","PB1011690","l'avant-scène cinéma",,,
"i275461105","c24373679","0045-1150","PB1011691","l'avant-scène cinéma",,,
"i275461117","c24373679","0045-1150","PB1011692","l'avant-scène cinéma",,,
"i275461129","c24373679","0045-1150","PB1011693","l'avant-scène cinéma",,,
"i275461130","c24373679","0045-1150","PB1011694","l'avant-scène cinéma",,,
"i275461142","c24373679","0045-1150","PB1011695","l'avant-scène cinéma",,,
"i275461312","c24373679","0045-1150","PB1011696","l'avant-scène cinéma",,,
"i275461324","c24373679","0045-1150","PB1011697","l'avant-scène cinéma",,,
"i275461336","c24373679","0045-1150","PB1011698","l'avant-scène cinéma",,,
"i275461348","c24373679","0045-1150","PB1011699","l'avant-scène cinéma",,,
"i27546135x","c24373679","0045-1150","PB1011700","l'avant-scène cinéma",,,
"i275461361","c24373679","0045-1150","PB1011701","l'avant-scène cinéma",,,
"i275461373","c24373679","0045-1150","PB1011702","l'avant-scène cinéma",,,
"i275461385","c24373679","0045-1150","PB1011703","l'avant-scène cinéma",,,
"i275461397","c24373679","0045-1150","PB1011704","l'avant-scène cinéma",,,
"i275461403","c24373679","0045-1150","PB1011705","l'avant-scène cinéma",,,
"i275461415","c24373679","0045-1150","PB1011706","l'avant-scène cinéma",,,
"i275461427","c24373679","0045-1150","PB1011707","l'avant-scène cinéma",,,
"i275461439","c24373679","0045-1150","PB1011708","l'avant-scène cinéma",,,
"i275461440","c24373679","0045-1150","PB1011709","l'avant-scène cinéma",,,
"i275461452","c24373679","0045-1150","PB1011710","l'avant-scène cinéma",,,
"i275461464","c24373679","0045-1150","PB1011711","l'avant-scène cinéma",,,
"i275461476","c24373679","0045-1150","PB1011712","l'avant-scène cinéma",,,
"i275461488","c24373679","0045-1150","PB1011713","l'avant-scène cinéma",,,
"i27546149x","c24373679","0045-1150","PB1011714","l'avant-scène cinéma",,,
"i275461506","c24373679","0045-1150","PB1011715","l'avant-scène cinéma",,,
"i275461518","c24373679","0045-1150","PB1011716","l'avant-scène cinéma",,,
"i27546152x","c24373679","0045-1150","PB1011717","l'avant-scène cinéma",,,
"i275461531","c24373679","0045-1150","PB1011718","l'avant-scène cinéma",,,
"i275461543","c24373679","0045-1150","PB1011719","l'avant-scène cinéma",,,
"i275461555","c24373679","0045-1150","PB1011720","l'avant-scène cinéma",,,
"i275461567","c24373679","0045-1150","PB1011721","l'avant-scène cinéma",,,
"i275461579","c24373679","0045-1150","PB1011722","l'avant-scène cinéma",,,
"i275461580","c24373679","0045-1150","PB1011723","l'avant-scène cinéma",,,
"i275461592","c24373679","0045-1150","PB1011724","l'avant-scène cinéma",,,
"i275461609","c24373679","0045-1150","PB1011725","l'avant-scène cinéma",,,
"i275461610","c24373679","0045-1150","PB1011726","l'avant-scène cinéma",,,
"i275461622","c24373679","0045-1150","PB1011727","l'avant-scène cinéma",,,
"i275461634","c24373679","0045-1150","PB1011728","l'avant-scène cinéma",,,
"i275461646","c24373679","0045-1150","PB1011729","l'avant-scène cinéma",,,
"i275461658","c24373679","0045-1150","PB1011730","l'avant-scène cinéma",,,
"i27546166x","c24373679","0045-1150","PB1011731","l'avant-scène cinéma",,,
"i234508644","c24881302",,"PB1007024","la mamelle magazine: art contemporary",,,
"i275424820","c22948442",,"PB1001344","la produzione italiana",,,
"i264185791","c24431631","0214-6606 u","PB1015672","la revolución mexicana en imágenes","Archivos de la Filmoteca :",,
"i275424984","c19972386","0023-785X","PB1006659","landers film reviews",,,
"i275424996","c19972386","0023-785X","PB1006660","landers film reviews",,,
"i27544644x","c16366499",,"PB1003751","les films français de court métrage, production",,,
"i275424194","c24479585","0882-8482","PB1004031","lifelong learning","Lifelong learning (Berkeley, Calif.)",,
"i275480732","c24501736","0191-541X","PB1013784","lighting dimensions",,,
"i275480744","c24501736","0191-541X","PB1013785","lighting dimensions",,,
"i275480756","c24501736","0191-541X","PB1013786","lighting dimensions",,,
"i275480768","c24501736","0191-541X","PB1013787","lighting dimensions",,,
"i27548077x","c24501736","0191-541X","PB1013788","lighting dimensions",,,
"i275480781","c24501736","0191-541X","PB1013789","lighting dimensions",,,
"i275480793","c24501736","0191-541X","PB1013790","lighting dimensions",,,
"i27548080x","c24501736","0191-541X","PB1013791","lighting dimensions",,,
"i275480811","c24501736","0191-541X","PB1013792","lighting dimensions",,,
"i275480823","c24501736","0191-541X","PB1013793","lighting dimensions",,,
"i275480835","c24501736","0191-541X","PB1013794","lighting dimensions",,,
"i275447662","c1963027x",,"PB1011118","limelight","Limelight (Topanga, Calif.)",,
"i275453650","c24358617","0090-4260","PB1010123","literature film quarterly",,,
"i275453662","c24358617","0090-4260","PB1010124","literature film quarterly",,,
"i275453674","c24358617","0090-4260","PB1010125","literature film quarterly",,,
"i275453686","c24358617","0090-4260","PB1010126","literature film quarterly",,,
"i275453698","c24358617","0090-4260","PB1010127","literature film quarterly",,,
"i275453704","c24358617","0090-4260","PB1010128","literature film quarterly",,,
"i275453716","c24358617","0090-4260","PB1010129","literature film quarterly",,,
"i275453728","c24358617","0090-4260","PB1010130","literature film quarterly",,,
"i27545373x","c24358617","0090-4260","PB1010131","literature film quarterly",,,
"i275453741","c24358617","0090-4260","PB1010132","literature film quarterly",,,
"i275453753","c24358617","0090-4260","PB1010133","literature film quarterly",,,
"i275453765","c24358617","0090-4260","PB1010134","literature film quarterly",,,
"i275453777","c24358617","0090-4260","PB1010135","literature film quarterly",,,
"i275453789","c24358617","0090-4260","PB1010136","literature film quarterly",,,
"i275453790","c24358617","0090-4260","PB1010137","literature film quarterly",,,
"i275453807","c24358617","0090-4260","PB1010138","literature film quarterly",,,
"i275453819","c24358617","0090-4260","PB1010139","literature film quarterly",,,
"i275453820","c24358617","0090-4260","PB1010140","literature film quarterly",,,
"i275453832","c24358617","0090-4260","PB1010141","literature film quarterly",,,
"i275453844","c24358617","0090-4260","PB1010142","literature film quarterly",,,
"i275453856","c24358617","0090-4260","PB1010143","literature film quarterly",,,
"i275453868","c24358617","0090-4260","PB1010144","literature film quarterly",,,
"i27545387x","c24358617","0090-4260","PB1010145","literature film quarterly",,,
"i275453881","c24358617","0090-4260","PB1012846","literature film quarterly",,,
"i275422069","c16025131",,"PB1011083","lyra","Lyra (Buenos Aires, Argentina)",,
"i275422057","c16025131",,"PB1011087","lyra","Lyra (Buenos Aires, Argentina)",,
"i275480847","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013795","main","MAIN (Oakland, Calif.)",,
"i275480859","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013796","main","MAIN (Oakland, Calif.)",,
"i275480860","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013797","main","MAIN (Oakland, Calif.)",,
"i275480872","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013798","main","MAIN (Oakland, Calif.)",,
"i275480884","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013799","main","MAIN (Oakland, Calif.)",,
"i275480896","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013800","main","MAIN (Oakland, Calif.)",,
"i275480902","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013801","main","MAIN (Oakland, Calif.)",,
"i275480914","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013802","main","MAIN (Oakland, Calif.)",,
"i275480926","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013803","main","MAIN (Oakland, Calif.)",,
"i275480938","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013804","main","MAIN (Oakland, Calif.)",,
"i27548094x","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013805","main","MAIN (Oakland, Calif.)",,
"i275480951","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013806","main","MAIN (Oakland, Calif.)",,
"i275480963","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013807","main","MAIN (Oakland, Calif.)",,
"i275480975","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013808","main","MAIN (Oakland, Calif.)",,
"i275480987","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013809","main","MAIN (Oakland, Calif.)",,
"i275480999","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013810","main","MAIN (Oakland, Calif.)",,
"i275481001","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013811","main","MAIN (Oakland, Calif.)",,
"i275481013","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013812","main","MAIN (Oakland, Calif.)",,
"i275481025","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013813","main","MAIN (Oakland, Calif.)",,
"i275481037","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013814","main","MAIN (Oakland, Calif.)",,
"i275481049","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013815","main","MAIN (Oakland, Calif.)",,
"i275481050","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013816","main","MAIN (Oakland, Calif.)",,
"i275481062","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013818","main","MAIN (Oakland, Calif.)",,
"i275481074","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013819","main","MAIN (Oakland, Calif.)",,
"i275481086","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013820","main","MAIN (Oakland, Calif.)",,
"i275481098","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013821","main","MAIN (Oakland, Calif.)",,
"i275481104","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013822","main","MAIN (Oakland, Calif.)",,
"i275481116","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013823","main","MAIN (Oakland, Calif.)",,
"i275481128","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013824","main","MAIN (Oakland, Calif.)",,
"i27548113x","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013825","main","MAIN (Oakland, Calif.)",,
"i275481141","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013826","main","MAIN (Oakland, Calif.)",,
"i275481153","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013827","main","MAIN (Oakland, Calif.)",,
"i275481165","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013828","main","MAIN (Oakland, Calif.)",,
"i275481177","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013829","main","MAIN (Oakland, Calif.)",,
"i275481189","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013830","main","MAIN (Oakland, Calif.)",,
"i275481190","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013831","main","MAIN (Oakland, Calif.)",,
"i275481207","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013832","main","MAIN (Oakland, Calif.)",,
"i275481219","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013833","main","MAIN (Oakland, Calif.)",,
"i275481220","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013834","main","MAIN (Oakland, Calif.)",,
"i275481232","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013835","main","MAIN (Oakland, Calif.)",,
"i275481244","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013836","main","MAIN (Oakland, Calif.)",,
"i275481256","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013837","main","MAIN (Oakland, Calif.)",,
"i275481268","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013838","main","MAIN (Oakland, Calif.)",,
"i27548127x","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013839","main","MAIN (Oakland, Calif.)",,
"i275481281","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013840","main","MAIN (Oakland, Calif.)",,
"i275481293","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013841","main","MAIN (Oakland, Calif.)",,
"i27548130x","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013842","main","MAIN (Oakland, Calif.)",,
"i275481311","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013843","main","MAIN (Oakland, Calif.)",,
"i275481323","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013844","main","MAIN (Oakland, Calif.)",,
"i275481335","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013846","main","MAIN (Oakland, Calif.)",,
"i275481347","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013847","main","MAIN (Oakland, Calif.)",,
"i275481359","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013848","main","MAIN (Oakland, Calif.)",,
"i275481360","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013849","main","MAIN (Oakland, Calif.)",,
"i275481372","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013850","main","MAIN (Oakland, Calif.)",,
"i275481384","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013851","main","MAIN (Oakland, Calif.)",,
"i275481396","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013957","main","MAIN (Oakland, Calif.)",,
"i275481402","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013958","main","MAIN (Oakland, Calif.)",,
"i275481414","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013959","main","MAIN (Oakland, Calif.)",,
"i275481426","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013960","main","MAIN (Oakland, Calif.)",,
"i275481438","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013961","main","MAIN (Oakland, Calif.)",,
"i27548144x","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013962","main","MAIN (Oakland, Calif.)",,
"i275481451","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013963","main","MAIN (Oakland, Calif.)",,
"i275481463","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013964","main","MAIN (Oakland, Calif.)",,
"i275481475","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013965","main","MAIN (Oakland, Calif.)",,
"i275481487","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013966","main","MAIN (Oakland, Calif.)",,
"i275481499","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013967","main","MAIN (Oakland, Calif.)",,
"i275481505","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013968","main","MAIN (Oakland, Calif.)",,
"i275481517","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013969","main","MAIN (Oakland, Calif.)",,
"i275481529","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013970","main","MAIN (Oakland, Calif.)",,
"i275481530","c24501748","1527-0599 1527-0599 0889-8928 1","PB1013971","main","MAIN (Oakland, Calif.)",,
"i275481694","c24501785","0025-6897 0025-6897 1","PB1013867","media and methods",,,
"i275481700","c24501785","0025-6897 0025-6897 1","PB1013868","media and methods",,,
"i275481712","c24501785","0025-6897 0025-6897 1","PB1013869","media and methods",,,
"i275481724","c24501785","0025-6897 0025-6897 1","PB1013870","media and methods",,,
"i275481736","c24501785","0025-6897 0025-6897 1","PB1013871","media and methods",,,
"i275481748","c24501785","0025-6897 0025-6897 1","PB1013872","media and methods",,,
"i27548175x","c24501785","0025-6897 0025-6897 1","PB1013873","media and methods",,,
"i275481761","c24501785","0025-6897 0025-6897 1","PB1013874","media and methods",,,
"i275481773","c24501785","0025-6897 0025-6897 1","PB1013875","media and methods",,,
"i275481785","c24501785","0025-6897 0025-6897 1","PB1013876","media and methods",,,
"i275481797","c24501785","0025-6897 0025-6897 1","PB1013877","media and methods",,,
"i275481803","c24501785","0025-6897 0025-6897 1","PB1013878","media and methods",,,
"i275481815","c24501785","0025-6897 0025-6897 1","PB1013879","media and methods",,,
"i275481827","c24501785","0025-6897 0025-6897 1","PB1013880","media and methods",,,
"i275481839","c24501785","0025-6897 0025-6897 1","PB1013881","media and methods",,,
"i275481840","c24501785","0025-6897 0025-6897 1","PB1013882","media and methods",,,
"i275481852","c24501785","0025-6897 0025-6897 1","PB1013883","media and methods",,,
"i275481864","c24501785","0025-6897 0025-6897 1","PB1013884","media and methods",,,
"i275481876","c24501785","0025-6897 0025-6897 1","PB1013885","media and methods",,,
"i275481888","c24501785","0025-6897 0025-6897 1","PB1013886","media and methods",,,
"i27548189x","c24501785","0025-6897 0025-6897 1","PB1013887","media and methods",,,
"i275481906","c24501785","0025-6897 0025-6897 1","PB1013888","media and methods",,,
"i275481918","c24501785","0025-6897 0025-6897 1","PB1013889","media and methods",,,
"i27548192x","c24501785","0025-6897 0025-6897 1","PB1013935","media and methods",,,
"i275481931","c24501785","0025-6897 0025-6897 1","PB1013936","media and methods",,,
"i275481943","c24501785","0025-6897 0025-6897 1","PB1013937","media and methods",,,
"i275481955","c24501785","0025-6897 0025-6897 1","PB1013938","media and methods",,,
"i275481967","c24501785","0025-6897 0025-6897 1","PB1013939","media and methods",,,
"i275481979","c24501785","0025-6897 0025-6897 1","PB1013940","media and methods",,,
"i275481980","c24501785","0025-6897 0025-6897 1","PB1013941","media and methods",,,
"i275481992","c24501785","0025-6897 0025-6897 1","PB1013942","media and methods",,,
"i275482005","c24501785","0025-6897 0025-6897 1","PB1013943","media and methods",,,
"i275482017","c24501785","0025-6897 0025-6897 1","PB1013944","media and methods",,,
"i275482029","c24501785","0025-6897 0025-6897 1","PB1013945","media and methods",,,
"i275482030","c24501785","0025-6897 0025-6897 1","PB1013946","media and methods",,,
"i275482042","c24501785","0025-6897 0025-6897 1","PB1013947","media and methods",,,
"i275482054","c24501785","0025-6897 0025-6897 1","PB1013948","media and methods",,,
"i275482066","c24501785","0025-6897 0025-6897 1","PB1013949","media and methods",,,
"i275482078","c24501785","0025-6897 0025-6897 1","PB1013950","media and methods",,,
"i27548208x","c24501785","0025-6897 0025-6897 1","PB1013951","media and methods",,,
"i275482091","c24501785","0025-6897 0025-6897 1","PB1013952","media and methods",,,
"i275482108","c24501785","0025-6897 0025-6897 1","PB1013953","media and methods",,,
"i27548211x","c24501785","0025-6897 0025-6897 1","PB1013954","media and methods",,,
"i275482121","c24501785","0025-6897 0025-6897 1","PB1013955","media and methods",,,
"i275482133","c24501785","0025-6897 0025-6897 1","PB1013956","media and methods",,,
"i275481542","c24501761",,"PB1013852","media study/buffalo",,,
"i275481554","c24501761",,"PB1013853","media study/buffalo",,,
"i275481566","c24501761",,"PB1013854","media study/buffalo",,,
"i275481578","c24501761",,"PB1013855","media study/buffalo",,,
"i27548158x","c24501761",,"PB1013856","media study/buffalo",,,
"i275481591","c24501761",,"PB1013857","media study/buffalo",,,
"i275481621","c24501761",,"PB1013858","media study/buffalo",,,
"i275481608","c24501761",,"PB1013859","media study/buffalo",,,
"i27548161x","c24501761",,"PB1013860","media study/buffalo",,,
"i275481633","c24501761",,"PB1013861","media study/buffalo",,,
"i275481645","c24501761",,"PB1013862","media study/buffalo",,,
"i275481657","c24501761",,"PB1013863","media study/buffalo",,,
"i275481669","c24501761",,"PB1013864","media study/buffalo",,,
"i275481670","c24501761",,"PB1013865","media study/buffalo",,,
"i275481682","c24501761",,"PB1013866","media study/buffalo",,,
"i275422872","c22830698","1523-004X","PB1009038","mediamaker handbook",,,
"i275454174","c2435868x","1064-5586 1064-5586 1","PB1010097","millennium film journal",,,
"i275454186","c2435868x","1064-5586 1064-5586 1","PB1010098","millennium film journal",,,
"i275453893","c2435868x","1064-5586 1064-5586 1","PB1010099","millennium film journal",,,
"i27545390x","c2435868x","1064-5586 1064-5586 1","PB1010100","millennium film journal",,,
"i275453911","c2435868x","1064-5586 1064-5586 1","PB1010101","millennium film journal",,,
"i275453923","c2435868x","1064-5586 1064-5586 1","PB1010102","millennium film journal",,,
"i275453947","c2435868x","1064-5586 1064-5586 1","PB1010103","millennium film journal",,,
"i275453960","c2435868x","1064-5586 1064-5586 1","PB1010104","millennium film journal",,,
"i275453984","c2435868x","1064-5586 1064-5586 1","PB1010105","millennium film journal",,,
"i275454009","c2435868x","1064-5586 1064-5586 1","PB1010106","millennium film journal",,,
"i275454010","c2435868x","1064-5586 1064-5586 1","PB1010107","millennium film journal",,,
"i275454022","c2435868x","1064-5586 1064-5586 1","PB1010108","millennium film journal",,,
"i275454034","c2435868x","1064-5586 1064-5586 1","PB1010109","millennium film journal",,,
"i275454046","c2435868x","1064-5586 1064-5586 1","PB1010110","millennium film journal",,,
"i275454058","c2435868x","1064-5586 1064-5586 1","PB1010111","millennium film journal",,,
"i27545406x","c2435868x","1064-5586 1064-5586 1","PB1010112","millennium film journal",,,
"i275454071","c2435868x","1064-5586 1064-5586 1","PB1010113","millennium film journal",,,
"i275454083","c2435868x","1064-5586 1064-5586 1","PB1010114","millennium film journal",,,
"i275454095","c2435868x","1064-5586 1064-5586 1","PB1010115","millennium film journal",,,
"i275454101","c2435868x","1064-5586 1064-5586 1","PB1010116","millennium film journal",,,
"i275454113","c2435868x","1064-5586 1064-5586 1","PB1010117","millennium film journal",,,
"i275454125","c2435868x","1064-5586 1064-5586 1","PB1010118","millennium film journal",,,
"i275454137","c2435868x","1064-5586 1064-5586 1","PB1010119","millennium film journal",,,
"i275454149","c2435868x","1064-5586 1064-5586 1","PB1010120","millennium film journal",,,
"i275454150","c2435868x","1064-5586 1064-5586 1","PB1010121","millennium film journal",,,
"i275454162","c2435868x","1064-5586 1064-5586 1","PB1010122","millennium film journal",,,
"i275453935","c2435868x","1064-5586 1064-5586 1","PB1011165","millennium film journal",,,
"i275453959","c2435868x","1064-5586 1064-5586 1","PB1011166","millennium film journal",,,
"i275453972","c2435868x","1064-5586 1064-5586 1","PB1011167","millennium film journal",,,
"i275453996","c2435868x","1064-5586 1064-5586 1","PB1011168","millennium film journal",,,
"i275454198","c2435868x","1064-5586 1064-5586 1","PB1011169","millennium film journal",,,
"i275483058","c24501839","0164-9655 0164-9655 1","PB1013972","millimeter",,,
"i27548306x","c24501839","0164-9655 0164-9655 1","PB1013973","millimeter",,,
"i275483071","c24501839","0164-9655 0164-9655 1","PB1013974","millimeter",,,
"i275483083","c24501839","0164-9655 0164-9655 1","PB1013975","millimeter",,,
"i275483095","c24501839","0164-9655 0164-9655 1","PB1013976","millimeter",,,
"i275483101","c24501839","0164-9655 0164-9655 1","PB1013977","millimeter",,,
"i275483113","c24501839","0164-9655 0164-9655 1","PB1013978","millimeter",,,
"i275483125","c24501839","0164-9655 0164-9655 1","PB1013979","millimeter",,,
"i275483137","c24501839","0164-9655 0164-9655 1","PB1013980","millimeter",,,
"i275483149","c24501839","0164-9655 0164-9655 1","PB1013981","millimeter",,,
"i275483150","c24501839","0164-9655 0164-9655 1","PB1013982","millimeter",,,
"i275483162","c24501839","0164-9655 0164-9655 1","PB1013983","millimeter",,,
"i275483174","c24501839","0164-9655 0164-9655 1","PB1013984","millimeter",,,
"i275483186","c24501839","0164-9655 0164-9655 1","PB1013985","millimeter",,,
"i275483198","c24501839","0164-9655 0164-9655 1","PB1013986","millimeter",,,
"i275483204","c24501839","0164-9655 0164-9655 1","PB1013987","millimeter",,,
"i275483216","c24501839","0164-9655 0164-9655 1","PB1013988","millimeter",,,
"i275483228","c24501839","0164-9655 0164-9655 1","PB1013989","millimeter",,,
"i27548323x","c24501839","0164-9655 0164-9655 1","PB1013990","millimeter",,,
"i275483241","c24501839","0164-9655 0164-9655 1","PB1013991","millimeter",,,
"i275483253","c24501839","0164-9655 0164-9655 1","PB1013992","millimeter",,,
"i275483265","c24501839","0164-9655 0164-9655 1","PB1013993","millimeter",,,
"i275483277","c24501839","0164-9655 0164-9655 1","PB1013994","millimeter",,,
"i275483289","c24501839","0164-9655 0164-9655 1","PB1013995","millimeter",,,
"i275483290","c24501839","0164-9655 0164-9655 1","PB1013996","millimeter",,,
"i275483307","c24501839","0164-9655 0164-9655 1","PB1013997","millimeter",,,
"i275483319","c24501839","0164-9655 0164-9655 1","PB1013998","millimeter",,,
"i275483320","c24501839","0164-9655 0164-9655 1","PB1013999","millimeter",,,
"i275483332","c24501839","0164-9655 0164-9655 1","PB1014000","millimeter",,,
"i275483344","c24501839","0164-9655 0164-9655 1","PB1014001","millimeter",,,
"i275483356","c24501839","0164-9655 0164-9655 1","PB1014002","millimeter",,,
"i275483368","c24501839","0164-9655 0164-9655 1","PB1014003","millimeter",,,
"i27548337x","c24501839","0164-9655 0164-9655 1","PB1014004","millimeter",,,
"i275483381","c24501839","0164-9655 0164-9655 1","PB1014005","millimeter",,,
"i275483393","c24501839","0164-9655 0164-9655 1","PB1014006","millimeter",,,
"i27548340x","c24501839","0164-9655 0164-9655 1","PB1014007","millimeter",,,
"i275483411","c24501839","0164-9655 0164-9655 1","PB1014008","millimeter",,,
"i275483423","c24501839","0164-9655 0164-9655 1","PB1014009","millimeter",,,
"i275483435","c24501839","0164-9655 0164-9655 1","PB1014010","millimeter",,,
"i275483447","c24501839","0164-9655 0164-9655 1","PB1014011","millimeter",,,
"i275483459","c24501839","0164-9655 0164-9655 1","PB1014012","millimeter",,,
"i275483460","c24501839","0164-9655 0164-9655 1","PB1014013","millimeter",,,
"i275483472","c24501839","0164-9655 0164-9655 1","PB1014014","millimeter",,,
"i275483484","c24501839","0164-9655 0164-9655 1","PB1014015","millimeter",,,
"i275483496","c24501839","0164-9655 0164-9655 1","PB1014016","millimeter",,,
"i275483502","c24501839","0164-9655 0164-9655 1","PB1014017","millimeter",,,
"i275483514","c24501839","0164-9655 0164-9655 1","PB1014018","millimeter",,,
"i275483526","c24501839","0164-9655 0164-9655 1","PB1014019","millimeter",,,
"i275483538","c24501839","0164-9655 0164-9655 1","PB1014020","millimeter",,,
"i27548354x","c24501839","0164-9655 0164-9655 1","PB1014021","millimeter",,,
"i275483551","c24501839","0164-9655 0164-9655 1","PB1014022","millimeter",,,
"i275483563","c24501839","0164-9655 0164-9655 1","PB1014023","millimeter",,,
"i275483575","c24501839","0164-9655 0164-9655 1","PB1014024","millimeter",,,
"i275483587","c24501839","0164-9655 0164-9655 1","PB1014025","millimeter",,,
"i275483599","c24501839","0164-9655 0164-9655 1","PB1014026","millimeter",,,
"i275483605","c24501839","0164-9655 0164-9655 1","PB1014027","millimeter",,,
"i275483617","c24501839","0164-9655 0164-9655 1","PB1014028","millimeter",,,
"i275483629","c24501839","0164-9655 0164-9655 1","PB1014029","millimeter",,,
"i275483630","c24501839","0164-9655 0164-9655 1","PB1014030","millimeter",,,
"i275483642","c24501839","0164-9655 0164-9655 1","PB1014031","millimeter",,,
"i275483654","c24501839","0164-9655 0164-9655 1","PB1014032","millimeter",,,
"i275483666","c24501839","0164-9655 0164-9655 1","PB1014033","millimeter",,,
"i275483678","c24501839","0164-9655 0164-9655 1","PB1014034","millimeter",,,
"i27548368x","c24501839","0164-9655 0164-9655 1","PB1014035","millimeter",,,
"i275483691","c24501839","0164-9655 0164-9655 1","PB1014036","millimeter",,,
"i275483708","c24501839","0164-9655 0164-9655 1","PB1014037","millimeter",,,
"i27548371x","c24501839","0164-9655 0164-9655 1","PB1014038","millimeter",,,
"i275483721","c24501839","0164-9655 0164-9655 1","PB1014039","millimeter",,,
"i275483733","c24501839","0164-9655 0164-9655 1","PB1014040","millimeter",,,
"i275483745","c24501839","0164-9655 0164-9655 1","PB1014041","millimeter",,,
"i275449166","c24107396",,"PB1006913","minutes of the ... general meeting",,,
"i275449178","c24107396",,"PB1006914","minutes of the ... general meeting",,,
"i27544918x","c24107396",,"PB1006915","minutes of the ... general meeting",,,
"i275449191","c24107396",,"PB1006916","minutes of the ... general meeting",,,
"i275449208","c24107396",,"PB1006917","minutes of the ... general meeting",,,
"i27544921x","c24107396",,"PB1006918","minutes of the ... general meeting",,,
"i275449221","c24107396",,"PB1006919","minutes of the ... general meeting",,,
"i275449233","c24107396",,"PB1006920","minutes of the ... general meeting",,,
"i275449245","c24107396",,"PB1006921","minutes of the ... general meeting",,,
